物件ID,行動名單,名稱,社區,公開地址,行政區,產品階段,住宅類型,登記用途,格局,樓層,總樓層,屋齡(年),電梯,管理費,最低刊登價(萬),最高刊登價(萬),有車位,總價含車位,車位價(萬),車位必買,預算判斷(8000萬),可確認總價(萬),預算判斷說明,主建物(坪),附屬建物(坪),主+附(坪),平台僅揭露之主+附合計(坪),共有部分(坪),車位(坪),權狀總坪,A口徑(主建物>=26),B口徑(主+附>=26),面積標示,最近出入口,步行公尺(估算),步行分鐘(估算),步行測量方式,位置精度,開價÷主建物(萬/坪),扣車位建坪單價(萬/坪),可售狀態,平台數,平台與物件編號,原始網址,查閱時間,臨路或巷內,主要生活機能,已深度查核,第一輪,主要優點,主要疑慮,待確認事項
XA-124,優先看屋,立人大廈｜信義安和面１０１邊間美廈,立人大廈,台北市大安區安和路二段,大安區,中古屋,電梯大樓,住家用,3房2廳2衛,6,12,43.3,有,"每月約 1,700 元。",4488,4488,無,,,,符合,4488,"無車位，總價：4,488 萬 ≤ 預算 8,000 萬",30.68,5.28,35.96,,1.26,,37.21,符合,符合,主建物符合 26 坪,2A,80,1,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,146.28,120.61,研究日查得刊登頁，實際可售狀態待確認,4,住商不動產:WS78144 | 信義房屋:0725WK | 有巢氏房屋:7478056 | 永慶房屋:7480144,https://www.hbhousing.com.tw/detail?sn=WS78144 | https://www.sinyi.com.tw/buy/house/0725WK | https://buy.u-trust.com.tw/house/7478056 | https://buy.yungching.com.tw/house/7480144,2026-09-20T13:25:11+08:00 | 2026-09-20T13:27:15+08:00 | 2026-09-20T13:38:57+08:00 | 2026-09-20T13:30:37+08:00,臨安和路二段（住商：面臨路寬約30米；永慶標題「面安和綠蔭」；實價登錄同建案門牌為安和路二段12、18號），不是巷內；距信義路口很近。,捷運信義安和站（頁面：出口2A約60公尺）、通化街／臨江街夜市與通化市場生活圈、通化公園（頁面約233公尺）、家樂福超市（頁面約238公尺）、全聯、立人國中小、仁愛國小（頁面約300–370公尺，非指學區）,是,是,"步行約 1 分鐘到信義安和站，主建物 30.68 坪，且有同建案同坪型成交（4,208–4,280 萬）可對照開價。",格局圖標註三處陽台外移（未登記增建），43 年老大樓且直接面安和路近信義路口，噪音與漏水需現場確認。,本戶實際門牌（12號或18號或其他）與謄本：確認登記面積、用途、有無設定或限制登記。；陽台外移的施作年代、是否曾被查報或列管。；屋主取得時間與是否有租約（永慶標示「非短期交易」，細節未知）。；大樓近年公共修繕紀錄、管委會財務、電梯更新與外牆狀況。；海砂屋（氯離子）與輻射檢測報告：1983 年完工屬需留意年代。
XA-125,目前不符合條件,六張犁採光二樓,,台北市信義區基隆路二段,信義區,中古屋,公寓,集合住宅 ／ 住家用,4房(室)2廳2衛,2,5,38.7,無,,2888,2888,無,,,,符合,2888,"無車位，總價：2,888 萬 ≤ 預算 8,000 萬",31.44,3.42,34.86,,4.38,,39.24,符合,符合,主建物符合 26 坪,4,1203.6,15.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,91.86,73.60,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS78842 | 信義房屋:7473PH | 永慶房屋:7272412,https://www.hbhousing.com.tw/detail?sn=WS78842 | https://www.sinyi.com.tw/buy/house/7473PH | https://buy.yungching.com.tw/house/7272412,2026-09-20T13:28:11+08:00 | 2026-09-20T13:24:27+08:00 | 2026-09-20T13:32:41+08:00,,,,,公設比低（約 11%）,步行超過 15 分鐘,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；管理費未揭露
XA-126,優先看屋,阿波羅大廈｜忠孝阿波羅視野好住辦,阿波羅大廈,台北市大安區忠孝東路四段,大安區,中古屋,電梯大樓,住家用 ／ 集合住宅,3房2廳2衛1室,12,13,48.7,有,"每月約 5,677 元。",6880,6880,無,,,,符合,6880,"無車位，總價：6,880 萬 ≤ 預算 8,000 萬",51.46,9.9,61.36,,5.42,,66.79,符合,符合,主建物符合 26 坪,1,949.6,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,133.70,103.01,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS79098 | 信義房屋:5250XY,https://www.hbhousing.com.tw/detail?sn=WS79098 | https://www.sinyi.com.tw/buy/house/5250XY,2026-09-20T13:28:24+08:00 | 2026-09-20T13:30:56+08:00,,,,,主建物 51.46 坪，高於門檻 25.5 坪,屋齡 48.7 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-127,先補資料再決定,畢卡索｜綠蔭景觀畢卡索管理住辦,畢卡索,台北市信義區光復南路,信義區,中古屋,電梯大樓,商業用 ／ 一般事務所,3房2廳2衛,2,12,37.8,有,"每月約 5,419 元。",4380,4500,無,,,,符合,4500,"無車位，總價：4,500 萬 ≤ 預算 8,000 萬",32,13.14,45.14,,2.77,,47.9,符合,符合,主建物符合 26 坪,4,653.6,8.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,140.63,93.95,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS79550 | 信義房屋:2934XV,https://www.hbhousing.com.tw/detail?sn=WS79550 | https://www.sinyi.com.tw/buy/house/2934XV,2026-09-20T13:26:42+08:00 | 2026-09-20T13:26:55+08:00,,,,,主建物 32 坪，高於門檻 6.0 坪,住宅用途待確認,登記用途含非純住家項目（商業用、一般事務所）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋；各平台開價不一致（4380～4500 萬）：需確認屋主實際委託價
XA-128,目前不符合條件,榮耀敦南｜大安榮耀敦南四房雙平車,榮耀敦南,台北市大安區和平東路三段,大安區,中古屋,電梯大樓,一般事務所,4房1廳2衛1室,12,19,22.6,有,(車位管理費包含在大樓管理費內 / 月繳),8688,8688,有,是,,,超出預算,8688,"含車位總價：8,688 萬 > 預算 8,000 萬",38.95,4.37,43.32,,23.21,31.9,98.43,符合,符合,主建物符合 26 坪,2A,1118.4,14,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS79687 | 信義房屋:6587KZ,https://www.hbhousing.com.tw/detail?sn=WS79687 | https://www.sinyi.com.tw/buy/house/6587KZ,2026-09-20T13:29:16+08:00 | 2026-09-20T13:32:22+08:00,,,,,主建物 38.95 坪，高於門檻 13.0 坪,"超出 8,000 萬預算",步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認；總價含車位，但車位價格未拆分：無法計算扣車位後單價；登記用途含非純住家項目（一般事務所）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-129,優先看屋,仁愛光復管理三房,,台北市大安區光復南路,大安區,中古屋,電梯大樓,集合住宅,3房(室)2廳1衛,9,12,48.2,有,2810元/每月,3866,3866,無,,,,符合,3866,"無車位，總價：3,866 萬 ≤ 預算 8,000 萬",26.43,4.88,31.31,,4.95,,39.92,符合,符合,主建物符合 26 坪,5,721.2,9.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,146.27,96.84,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS80334,https://www.hbhousing.com.tw/detail?sn=WS80334,2026-09-20T13:27:10+08:00,,,,,公設比低（約 12%）,屋齡 48.2 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-130,先補資料再決定,信義安和文昌街口公寓,,台北市大安區文昌街,大安區,中古屋,公寓,,3房(室)2廳1衛,4,4,53.4,無,,3380,3380,無,,,,符合,3380,"無車位，總價：3,380 萬 ≤ 預算 8,000 萬",27.1,,,,,,27.1,待確認,待確認,面積待確認,4,207.7,3,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,124.72,124.72,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS80419,https://www.hbhousing.com.tw/detail?sn=WS80419,2026-09-20T13:25:39+08:00,,,,,步行約 3 分到捷運出入口,面積待確認,刊登頁的主建物等於總建坪（27.1 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；謄本登記用途未揭露（需確認為住家用）；管理費未揭露
XA-131,先補資料再決定,文昌家具街雅寓黃金3樓,,台北市大安區文昌街,大安區,中古屋,公寓,,3房(室)2廳1衛,3,4,53.4,無,,2980,2980,無,,,,符合,2980,"無車位，總價：2,980 萬 ≤ 預算 8,000 萬",27.09,,,,,,27.09,待確認,待確認,面積待確認,4,207.7,3,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,110.00,110.00,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS80426,https://www.hbhousing.com.tw/detail?sn=WS80426,2026-09-20T13:25:41+08:00,臨文昌街（平台標示面臨路寬約 8 米，非幹道；沿街為文昌家具街店面）。平台座標落在文昌街北段，距信義路四段約 70–100 公尺、通化公園約 32 公尺（平台值）；座標可能偏移，實際門牌與是否正對公園待確認。,信義安和站約 161 公尺（平台值；本研究路網估算到出口4 約 208 公尺）、通化公園約 32 公尺（平台值）、通化夜市／臨江街商圈（平台列為鄰近市場）、公車站「通化街口」、鄰近學校（僅距離，非學區）：三興國小約 539 公尺、大安國中約 821 公尺,是,,"步行約 3 分鐘到信義安和站、總價 2,980 萬，遠低於預算上限",主建物＝建坪 27.09 坪、拆分不明，A 口徑無法確認；53 年無電梯公寓且開價高於附近公寓成交,謄本面積拆分：主建物、陽台（附屬建物）、共有部分各多少平方公尺；樓梯間登記在哪裡；法定用途（頁面為「--」）；巷弄門牌（無法比對同棟成交，也無法確認是否正對通化公園）；有無陽台外推或其他未登記增建（文案稱使用空間大）；土地地號、持分比例、使用分區；屋況與修繕紀錄：管線更新、漏水、海砂與輻射檢測、耐震評估；都更或危老的實際進度（目前只有文案說法）
XA-132,先補資料再決定,【大安站｜正四維路・敦化專區】,,台北市大安區四維路,大安區,中古屋,公寓,集合住宅,3房(室)2廳1衛,2,4,54.3,無,,3380,3380,無,,,,符合,3380,"無車位，總價：3,380 萬 ≤ 預算 8,000 萬",29.88,,,,,,29.88,待確認,待確認,面積待確認,2A,883.7,11.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,113.12,113.12,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS81311,https://www.hbhousing.com.tw/detail?sn=WS81311,2026-09-20T13:26:55+08:00,,,,,（目前沒有明確優勢）,面積待確認,刊登頁的主建物等於總建坪（29.88 坪），沒有附屬建物與共有部分的拆分：平台可能未拆分陽台、樓梯間或公設，主建物實際數字需以謄本確認；附屬建物坪數未揭露；管理費未揭露
XA-133,優先看屋,凱旋門｜遠企電梯獨戶大三房三衛,凱旋門,台北市大安區安和路二段,大安區,中古屋,華廈,集合住宅 ／ 住家用,3房2廳2.5衛,3,7,44.5,有,6400元/每月,6500,6500,無,,,,符合,6500,"無車位，總價：6,500 萬 ≤ 預算 8,000 萬",49.2,6.85,56.05,,3.27,,59.32,符合,符合,主建物符合 26 坪,2A,926.1,12,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,132.11,109.58,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS81401 | 信義房屋:3550KP | 永慶房屋:7504107,https://www.hbhousing.com.tw/detail?sn=WS81401 | https://www.sinyi.com.tw/buy/house/3550KP | https://buy.yungching.com.tw/house/7504107,2026-09-20T13:27:39+08:00 | 2026-09-20T13:30:36+08:00 | 2026-09-20T13:31:40+08:00,,,,,主建物 49.2 坪，高於門檻 23.2 坪,屋齡 44.5 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-134,目前不符合條件,東帝士花園廣場｜東帝士高樓三房名邸,東帝士花園廣場,台北市大安區安和路二段,大安區,中古屋,電梯大樓,集合住宅 ／ 住家用,3房(室)2廳2衛,9,25,37.1,有,8691元/每月,8488,8488,有,是,400,,超出預算,8488,"含車位總價：8,488 萬 > 預算 8,000 萬",48.78,8.8,57.58,,10.69,10.97,79.24,符合,符合,主建物符合 26 坪,2A,559.7,7,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,165.81,118.47,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS81727 | 永慶房屋:7407476,https://www.hbhousing.com.tw/detail?sn=WS81727 | https://buy.yungching.com.tw/house/7407476,2026-09-20T13:26:28+08:00 | 2026-09-20T13:34:16+08:00,,,,,主建物 48.78 坪，高於門檻 22.8 坪,"超出 8,000 萬預算",
XA-135,先補資料再決定,樸園｜信義樸園靜巷精品2房,樸園,台北市信義區光復南路,信義區,中古屋,華廈,住家用,2房(室)2廳2衛,4,8,18.3,有,6275元/每月,6350,6350,有,是,,,符合,6350,"含車位總價：6,350 萬 ≤ 預算 8,000 萬",25.79,3.03,28.82,,22.59,12.18,51.41,不符合,符合,主＋附符合26坪；主建物未達26坪,5,569.2,7.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS82095,https://www.hbhousing.com.tw/detail?sn=WS82095,2026-09-20T13:26:49+08:00,,,,,屋齡 18.3 年，相對較新,總價含車位，但車位價格未拆分：無法計算扣車位後單價,總價含車位，但車位價格未拆分：無法計算扣車位後單價
XA-136,先補資料再決定,大安區置產改建首選 通安街,,台北市大安區通安街,大安區,中古屋,公寓,"防空避難室、儲藏室、小型店鋪、集合住宅 ／ 住商用,住家用 ／ 住商用、住家用",4房2室2廳2.5衛,B1-3,5,46.6,無,,4588,4600,無,,,,符合,4600,"無車位，總價：4,600 萬 ≤ 預算 8,000 萬",34.9,6.19,41.09,,,,51.4,待確認,待確認,面積待確認,4,423.6,5.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,131.81,89.49,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS82408 | 信義房屋:0067SM | 台灣房屋:TA02442172,https://www.hbhousing.com.tw/detail?sn=WS82408 | https://www.sinyi.com.tw/buy/house/0067SM | https://www.twhg.com.tw/buy/TA02442172,2026-09-20T13:26:11+08:00 | 2026-09-20T13:27:32+08:00 | 2026-09-20T13:25:59+08:00,,,,,主建物 34.9 坪，高於門檻 8.9 坪,面積待確認,"本戶含地下層（B1-3 樓）：部分平台把獨立權狀地下室併入主建物，地面層主建物需以謄本確認；地下室不應視為一般居住室內面積；登記用途含非純住家項目（防空避難室、儲藏室、小型店鋪、集合住宅、住商用,住家用、住商用、住家用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋；管理費未揭露；各平台開價不一致（4588～4600 萬）：需確認屋主實際委託價"
XA-138,先補資料再決定,國民大廈｜敦化南路二段名宅正看林蔭,國民大廈,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,住家用,3房2廳1衛,13,17,47.3,有,"每月約 1,650 元。",3880,3880,無,,,,符合,3880,"無車位，總價：3,880 萬 ≤ 預算 8,000 萬",25.96,,,,4.28,,30.24,不符合,待確認,面積待確認,2,1044.1,13.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,149.46,128.31,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS82533 | 信義房屋:9478JH,https://www.hbhousing.com.tw/detail?sn=WS82533 | https://www.sinyi.com.tw/buy/house/9478JH,2026-09-20T13:28:36+08:00 | 2026-09-20T13:26:16+08:00,,,,,公設比低（約 14%）,屋齡 47.3 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,附屬建物坪數未揭露
XA-139,優先看屋,敦南面林蔭大器鼎佳,,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,集合住宅,3房(室)3廳3衛,19,19,41.4,有,2600元/每月,7888,7888,無,,,,符合,7888,"無車位，總價：7,888 萬 ≤ 預算 8,000 萬",28.45,3.51,31.96,,13.71,,45.66,符合,符合,主建物符合 26 坪,2,1100.5,14,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,277.26,172.76,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS82641,https://www.hbhousing.com.tw/detail?sn=WS82641,2026-09-20T13:28:42+08:00,,,,,主建物達 26 坪且在預算內,屋齡 41.4 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-140,優先看屋,❤國館靜巷稀有華廈,,台北市信義區光復南路,信義區,中古屋,華廈,集合住宅 ／ 住家用,3房(室)2廳2衛,5,7,46.7,有,550元/每月,3498,3498,無,,,,符合,3498,"無車位，總價：3,498 萬 ≤ 預算 8,000 萬",27.65,3.4,31.05,,3.4,,34.45,符合,符合,主建物符合 26 坪,5,773.8,10,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,126.51,101.54,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS82878 | 太平洋房屋:S2951883 | 永慶房屋:7502394,https://www.hbhousing.com.tw/detail?sn=WS82878 | https://www.pacific.com.tw/Object/ObjectDetail/?saleID=S2951883 | https://buy.yungching.com.tw/house/7502394,2026-09-20T13:27:31+08:00 | 2026-09-20T13:41:59+08:00 | 2026-09-20T13:33:26+08:00,,,,,公設比低（約 10%）,屋齡 46.7 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,步行時間落在分界附近或各平台座標差異大：需以實際門牌實走確認
XA-141,目前不符合條件,通化邊間四房雙車,,台北市大安區通化街,大安區,中古屋,華廈,一般事務所 ／ 商業用,4室4廳3衛,7-8,8,27.1,有,4560元/每月,1999,1999,有,是,,,符合,1999,"含車位總價：1,999 萬 ≤ 預算 8,000 萬",47.95,18.11,66.06,,29.32,4.23,95.39,符合,符合,主建物符合 26 坪,4,445,6,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,,,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS82884 | 信義房屋:7278WK,https://www.hbhousing.com.tw/detail?sn=WS82884 | https://www.sinyi.com.tw/buy/house/7278WK,2026-09-20T13:26:02+08:00 | 2026-09-20T13:23:52+08:00,門牌未公開；推定位於通化街57巷／臨江街口的市場改建大樓，屬巷內、非幹道，但位在臨江街（通化）夜市範圍內——待房仲確認門牌,捷運信義安和站（住商頁標示約 339 公尺；信義頁出口4 約 444 公尺）、臨江街（通化）夜市與攤販集中場、通化公園（住商頁標示約 206 公尺）、三興國小（住商頁標示約 401 公尺；學區以公告為準）,是,,"登記主建物 48 坪、含 2 機械車位僅 1,999 萬，步行約 6 分鐘到捷運",只有建物所有權＋土地租賃權（市場用地、無土地持分），登記一般事務所，且有占公梯與露台加蓋,土地租約內容：出租人、租期起迄、租金與調整方式、到期後續約或建物歸屬條款。；銀行可否承作及成數（類地上權產品）。；確切門牌、樓下市場／攤商的營業型態與時間。；占公梯、露台加蓋是否曾被查報；區權會是否有約定專用。；現況是否出租、有無租約；2 個機械車位的規格與拆分價。
XA-142,目前不符合條件,科技大樓捷運獨戶鼎佳,,台北市大安區和平東路二段,大安區,中古屋,公寓,集合住宅 ／ 住家用,7房(室)2廳5衛,5,5,44.4,無,,3680,3680,無,,,,符合,3680,"無車位，總價：3,680 萬 ≤ 預算 8,000 萬",32.61,4.75,37.36,,4.01,,41.36,符合,符合,主建物符合 26 坪,2,1318.2,16.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,112.85,88.97,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS83957 | 信義房屋:3832DF | 永慶房屋:6762639,https://www.hbhousing.com.tw/detail?sn=WS83957 | https://www.sinyi.com.tw/buy/house/3832DF | https://buy.yungching.com.tw/house/6762639,2026-09-20T13:29:22+08:00 | 2026-09-20T13:25:44+08:00 | 2026-09-20T13:35:54+08:00,,,,,主建物 32.61 坪，高於門檻 6.6 坪,步行超過 15 分鐘,現況是否為隔套收租產品待確認；管理費未揭露
XA-143,先補資料再決定,德意華廈｜敦化信義高樓名邸,德意華廈,台北市大安區信義路四段,大安區,中古屋,電梯大樓,商業用,3室/2廳/2衛,8,12,44.6,有,3400元/每月,5280,5280,無,,,,符合,5280,"無車位，總價：5,280 萬 ≤ 預算 8,000 萬",36.09,6.6,42.69,,2.83,,45.51,符合,符合,主建物符合 26 坪,1,318.1,4,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,146.30,116.02,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS84328,https://www.hbhousing.com.tw/detail?sn=WS84328,2026-09-20T13:25:45+08:00,,,,,步行約 4 分到捷運出入口,住宅用途待確認,登記用途含非純住家項目（商業用）：能否作住宅使用、貸款成數與稅率需另行確認；不列入優先看屋
XA-144,優先看屋,國泰名流｜信義安和國泰大四房,國泰名流,台北市大安區信義路四段,大安區,中古屋,華廈,集合住宅 ／ 住家用,4房(室)2廳2衛,4,7,44.4,有,3500元/每月,6360,6688,有,否,300,否,符合,6688,"房屋總價（車位選配）：6,688 萬 ≤ 預算 8,000 萬",47.66,6.77,54.43,,5.56,4.88,59.99,符合,符合,主建物符合 26 坪,1,174.2,2.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝信義房屋刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,140.33,111.49,研究日查得刊登頁，實際可售狀態待確認,3,住商不動產:WS84343 | 信義房屋:04066A | 信義房屋:7803TF,https://www.hbhousing.com.tw/detail?sn=WS84343 | https://www.sinyi.com.tw/buy/house/04066A | https://www.sinyi.com.tw/buy/house/7803TF,2026-09-20T13:25:13+08:00 | 2026-09-20T13:30:29+08:00 | 2026-09-20T13:31:11+08:00,待確認：公開地址只到信義路四段。住商頁稱面臨路寬約 15 米、文案稱「寬巷住宅鬧中取靜」；平台座標在信義路北側、安和路一段以西的巷道內，距信義路約 60–70 公尺（座標可能偏移）。照片中陽台對面是一棟紅磚高樓與地下停車場車道出入口。推定為巷內、非直接臨信義路，但需實地確認門牌。,捷運信義安和站出口1（平台估約 157–206 公尺）、敦安公園（住商頁約 243 公尺）、仁愛國小、仁愛國中（住商頁約 223／341 公尺；學區以市府公告為準）、公車站：捷運信義安和站、信義敦化路口（信義頁）,是,是,一層一戶、主建物 47.66 坪的 4 樓，平台估到捷運出口 1 約 160–200 公尺,格局圖標註「空地增建」與多處陽台外移，開價每主建物坪 133 萬高於鄰近所有成交，且同戶雙刊登房屋價差 328 萬,"實際門牌與巷弄（目前只有路段），以及「面臨路寬 15 米」指的是哪一條路；「空地增建」的位置、面積、施作年代、是否占用共有部分、有無查報；建物謄本與測量成果圖：核對陽台 6.77 坪的位置與外推範圍；屋主目前有效的委託價與銷售組合（6,360 不含車位／6,988 含車位）；管理費 3,500 元的支出內容與公共基金餘額、近年修繕紀錄；同棟歷史成交（查詢期間內沒有；可請房仲提供更早年度的實價登錄）"
XA-145,優先看屋,國民大廈｜敦南綠蔭１０１美景高樓,國民大廈,台北市大安區敦化南路二段,大安區,中古屋,電梯大樓,住家用 ／ 集合住宅,1廳1衛5室,10,17,47.3,有,"每月約 2,771 元。",6988,6988,無,,,,符合,6988,"無車位，總價：6,988 萬 ≤ 預算 8,000 萬",41.49,2.01,43.5,,6.89,,50.39,符合,符合,主建物符合 26 坪,2,1044.1,13.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,168.43,138.68,研究日查得刊登頁，實際可售狀態待確認,2,住商不動產:WS85194 | 信義房屋:3825KR,https://www.hbhousing.com.tw/detail?sn=WS85194 | https://www.sinyi.com.tw/buy/house/3825KR,2026-09-20T13:28:34+08:00 | 2026-09-20T13:31:08+08:00,,,,,主建物 41.49 坪，高於門檻 15.5 坪,屋齡 47.3 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,
XA-146,先補資料再決定,捷運國父紀念館站華廈,,台北市大安區光復南路,大安區,中古屋,華廈,住家用,4房(室)2廳2衛,5,7,48.5,有,,3498,3498,無,,,,符合,3498,"無車位，總價：3,498 萬 ≤ 預算 8,000 萬",25.07,5.2,30.27,,,,30.27,不符合,符合,主＋附符合26坪；主建物未達26坪,5,912.1,11.5,地圖估算：OpenStreetMap 步行路網路由（routing.openstreetmap.de，foot profile），起點＝住商不動產刊登頁提供的物件座標，終點＝官方出入口座標；時間＝路徑距離÷80 公尺/分，不含等紅燈,platform_coord,139.53,115.56,研究日查得刊登頁，實際可售狀態待確認,1,住商不動產:WS85339,https://www.hbhousing.com.tw/detail?sn=WS85339,2026-09-20T13:27:49+08:00,,,,,（目前沒有明確優勢）,屋齡 48.5 年：貸款年限與成數可能受限（各銀行不同，未假設你的條件）、管線與防水需檢查,管理費未揭露
